"date","geography","geography code","Rural Urban","Household Type: All categories: Household type; measures: Value","Household Type: One person household; measures: Value","Household Type: Married couple household: With dependent children; measures: Value","Household Type: Married couple household: No dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: With dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: No dependent children; measures: Value","Household Type: Cohabiting couple household: With dependent children; measures: Value","Household Type: Cohabiting couple household: No dependent children; measures: Value","Household Type: Lone parent household: With dependent children; measures: Value","Household Type: Lone parent household: No dependent children; measures: Value","Household Type: Multi-person household: All full-time students; measures: Value","Household Type: Multi-person household: Other; measures: Value"
"2011","Darlington","E06000005","Total",46670,15101,6669,12704,5,43,2227,3026,4312,1672,11,900
"2011","County Durham","E06000047","Total",223803,70007,30770,66662,30,181,10615,13392,18377,8460,1487,3822
"2011","Hartlepool","E06000001","Total",40434,13392,5432,10654,3,31,2229,2362,4170,1574,14,573
"2011","Middlesbrough","E06000002","Total",57203,17708,7892,13785,9,40,2897,3275,6593,2807,654,1543
"2011","Northumberland","E06000057","Total",138534,41406,20525,45724,18,116,6108,8423,9264,5134,19,1797
"2011","Redcar and Cleveland","E06000003","Total",59605,18735,7812,17849,8,39,3147,3370,5517,2359,9,760
"2011","Stockton-on-Tees","E06000004","Total",79159,21986,12859,22515,12,55,4111,5438,7491,3189,202,1301
"2011","Gateshead","E08000037","Total",89154,29313,11654,23680,19,122,4241,6391,7613,3879,81,2161
"2011","Newcastle upon Tyne","E08000021","Total",117153,40337,15499,24188,18,174,4788,7704,9865,4490,4619,5471
"2011","North Tyneside","E08000022","Total",91295,30960,12862,24470,6,106,3880,6127,7747,3420,26,1691
"2011","South Tyneside","E08000023","Total",67167,23459,8373,17478,5,34,2809,3600,6912,3344,85,1068
"2011","Sunderland","E08000024","Total",119758,38096,15914,33821,12,71,6033,6808,10824,5741,650,1788
"2011","Blackburn with Darwen","E06000008","Total",57353,17419,11226,13734,13,43,2848,3116,5535,2277,29,1113
"2011","Blackpool","E06000009","Total",64367,24446,6735,14559,15,184,3365,4240,6366,2800,53,1604
"2011","Cheshire East","E06000049","Total",159441,47328,27310,49733,19,172,6432,10371,10059,5295,169,2553
"2011","Cheshire West and Chester","E06000050","Total",141442,41841,22702,43235,14,135,5898,9150,9797,5215,605,2850
"2011","Halton","E06000006","Total",53312,15833,7508,14522,7,55,2969,3226,5813,2519,8,852
"2011","Warrington","E06000007","Total",85140,24534,15209,24269,12,70,3928,5804,6670,3123,55,1466
"2011","Allerdale","E07000026","Total",42345,13169,6270,13875,2,32,1788,2343,2694,1548,4,620
"2011","Barrow-in-Furness","E07000027","Total",31224,10791,4194,8695,2,18,1540,1806,2534,1152,8,484
"2011","Carlisle","E07000028","Total",48342,16423,6718,13718,4,52,2074,3075,3304,1828,238,908
"2011","Copeland","E07000029","Total",30536,9308,4583,9790,0,31,1379,1793,1975,1181,5,491
"2011","Eden","E07000030","Total",23043,6958,3560,8010,2,29,850,1366,1071,713,37,447
"2011","South Lakeland","E07000031","Total",46552,15091,6543,16150,7,56,1568,2936,2040,1308,18,835
"2011","Bolton","E08000001","Total",116371,37091,19134,29585,14,102,5939,6905,10434,4746,211,2210
"2011","Bury","E08000002","Total",78113,24263,13021,20792,9,78,3800,4883,6564,3219,23,1461
"2011","Manchester","E08000003","Total",204969,72255,25362,27971,34,443,8260,16800,23297,9419,6403,14725
"2011","Oldham","E08000004","Total",89703,26790,15710,22231,4,56,4818,5246,9135,3917,39,1757
"2011","Rochdale","E08000005","Total",87552,28183,14007,20864,8,82,4804,5448,8768,3796,22,1570
"2011","Salford","E08000006","Total",103556,37751,12377,20819,22,173,4915,7900,10861,4361,615,3762
"2011","Stockport","E08000007","Total",121979,38535,20091,33672,19,129,5114,7523,9853,5038,12,1993
"2011","Tameside","E08000008","Total",94953,31037,13210,23790,15,91,5596,6349,9154,4112,10,1589
"2011","Trafford","E08000009","Total",94484,28179,17802,24353,18,126,3860,6178,7574,4004,36,2354
"2011","Wigan","E08000010","Total",136386,40053,20512,38941,17,114,8039,8931,11870,5910,21,1978
"2011","Burnley","E07000117","Total",37550,12506,5283,9595,2,26,1961,2388,3525,1564,8,692
