time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,phase,fsm_eligible,headcount,fsm_eligible_percent
202021,Autumn term,National,E92000001,England,,,,,,State-funded primary,933189,4618105,20.20718455
202021,Autumn term,National,E92000001,England,,,,,,State-funded secondary,636682,3502125,18.1798765
202021,Autumn term,National,E92000001,England,,,,,,Pupil referral unit,5577,10864,51.33468336
202021,Autumn term,National,E92000001,England,,,,,,Total,1633698,8299034,19.68539953
202021,Autumn term,National,E92000001,England,,,,,,State-funded nursery,2231,32048,6.961432851
202021,Autumn term,National,E92000001,England,,,,,,Special school,56019,135892,41.22317723
202021,Autumn term,Regional,E92000001,England,East Midlands,E12000004,,,,Pupil referral unit,422,737,57.25915875
202021,Autumn term,Regional,E92000001,England,East Midlands,E12000004,,,,Special school,4237,10361,40.89373613
202021,Autumn term,Regional,E92000001,England,East Midlands,E12000004,,,,State-funded nursery,96,2111,4.547607769
202021,Autumn term,Regional,E92000001,England,East Midlands,E12000004,,,,State-funded primary,76795,398253,19.28296836
202021,Autumn term,Regional,E92000001,England,East Midlands,E12000004,,,,State-funded secondary,50520,301339,16.76517145
202021,Autumn term,Regional,E92000001,England,East Midlands,E12000004,,,,Total,132070,712801,18.52831295
202021,Autumn term,Regional,E92000001,England,East of England,E12000006,,,,Pupil referral unit,508,1116,45.51971326
202021,Autumn term,Regional,E92000001,England,East of England,E12000006,,,,Special school,4947,13611,36.34560282
202021,Autumn term,Regional,E92000001,England,East of England,E12000006,,,,State-funded nursery,135,3621,3.728251864
202021,Autumn term,Regional,E92000001,England,East of England,E12000006,,,,State-funded primary,86359,514954,16.77023579
202021,Autumn term,Regional,E92000001,England,East of England,E12000006,,,,State-funded secondary,55374,404410,13.69253975
202021,Autumn term,Regional,E92000001,England,East of England,E12000006,,,,Total,147323,937712,15.71090058
202021,Autumn term,Regional,E92000001,England,London,E12000007,,,,Pupil referral unit,728,1641,44.36319317
202021,Autumn term,Regional,E92000001,England,London,E12000007,,,,Special school,8458,19072,44.3477349
202021,Autumn term,Regional,E92000001,England,London,E12000007,,,,State-funded nursery,674,7236,9.314538419
202021,Autumn term,Regional,E92000001,England,London,E12000007,,,,State-funded primary,146235,714583,20.46438272
202021,Autumn term,Regional,E92000001,England,London,E12000007,,,,State-funded secondary,118475,559863,21.16142699
202021,Autumn term,Regional,E92000001,England,London,E12000007,,,,Total,274570,1302395,21.08192983
202021,Autumn term,Regional,E92000001,England,North East,E12000001,,,,Pupil referral unit,418,739,56.56292287
202021,Autumn term,Regional,E92000001,England,North East,E12000001,,,,Special school,4174,8411,49.62549043
202021,Autumn term,Regional,E92000001,England,North East,E12000001,,,,State-funded nursery,101,2284,4.42206655
202021,Autumn term,Regional,E92000001,England,North East,E12000001,,,,State-funded primary,59745,217940,27.41350831
202021,Autumn term,Regional,E92000001,England,North East,E12000001,,,,State-funded secondary,38686,162158,23.856979
202021,Autumn term,Regional,E92000001,England,North East,E12000001,,,,Total,103124,391532,26.33858791
202021,Autumn term,Regional,E92000001,England,North West,E12000002,,,,Pupil referral unit,1148,2164,53.04990758
202021,Autumn term,Regional,E92000001,England,North West,E12000002,,,,Special school,9066,20421,44.39547525
202021,Autumn term,Regional,E92000001,England,North West,E12000002,,,,State-funded nursery,138,4508,3.06122449
202021,Autumn term,Regional,E92000001,England,North West,E12000002,,,,State-funded primary,147865,643538,22.97688715
202021,Autumn term,Regional,E92000001,England,North West,E12000002,,,,State-funded secondary,96056,451294,21.28457281
202021,Autumn term,Regional,E92000001,England,North West,E12000002,,,,Total,254273,1121925,22.66399269
202021,Autumn term,Regional,E92000001,England,South East,E12000008,,,,Pupil referral unit,420,996,42.1686747
202021,Autumn term,Regional,E92000001,England,South East,E12000008,,,,Special school,8180,23773,34.40878307
202021,Autumn term,Regional,E92000001,England,South East,E12000008,,,,State-funded nursery,183,3344,5.472488038
202021,Autumn term,Regional,E92000001,England,South East,E12000008,,,,State-funded primary,116033,724114,16.02413432
202021,Autumn term,Regional,E92000001,England,South East,E12000008,,,,State-funded secondary,72003,553488,13.00895412
202021,Autumn term,Regional,E92000001,England,South East,E12000008,,,,Total,196819,1305715,15.07365696
202021,Autumn term,Regional,E92000001,England,South West,E12000009,,,,Pupil referral unit,469,975,48.1025641
202021,Autumn term,Regional,E92000001,England,South West,E12000009,,,,Special school,4401,11111,39.60939609
202021,Autumn term,Regional,E92000001,England,South West,E12000009,,,,State-funded nursery,340,1848,18.3982684
202021,Autumn term,Regional,E92000001,England,South West,E12000009,,,,State-funded primary,70668,416622,16.96213834
202021,Autumn term,Regional,E92000001,England,South West,E12000009,,,,State-funded secondary,49578,330414,15.00481214
202021,Autumn term,Regional,E92000001,England,South West,E12000009,,,,Total,125456,760970,16.48632666
202021,Autumn term,Regional,E92000001,England,West Midlands,E12000005,,,,Pupil referral unit,717,1166,61.4922813
202021,Autumn term,Regional,E92000001,England,West Midlands,E12000005,,,,Special school,7680,17755,43.25542101
202021,Autumn term,Regional,E92000001,England,West Midlands,E12000005,,,,State-funded nursery,467,4924,9.48415922
202021,Autumn term,Regional,E92000001,England,West Midlands,E12000005,,,,State-funded primary,124384,513270,24.23363922
202021,Autumn term,Regional,E92000001,England,West Midlands,E12000005,,,,State-funded secondary,84180,394137,21.3580557
202021,Autumn term,Regional,E92000001,England,West Midlands,E12000005,,,,Total,217428,931252,23.34792301
202021,Autumn term,Regional,E92000001,England,Yorkshire and the Humber,E12000003,,,,Pupil referral unit,747,1330,56.16541353
202021,Autumn term,Regional,E92000001,England,Yorkshire and the Humber,E12000003,,,,Special school,4876,11377,42.85839852
202021,Autumn term,Regional,E92000001,England,Yorkshire and the Humber,E12000003,,,,State-funded nursery,97,2172,4.465930018
202021,Autumn term,Regional,E92000001,England,Yorkshire and the Humber,E12000003,,,,State-funded primary,105105,474831,22.13524391
202021,Autumn term,Regional,E92000001,England,Yorkshire and the Humber,E12000003,,,,State-funded secondary,71810,345022,20.81316554
202021,Autumn term,Regional,E92000001,England,Yorkshire and the Humber,E12000003,,,,Total,182635,834732,21.87947748
202021,Autumn term,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Pupil referral unit,89,160,55.625
202021,Autumn term,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Special school,496,1039,47.73820982
202021,Autumn term,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,State-funded nursery,60,469,12.79317697
202021,Autumn term,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,State-funded primary,14042,61494,22.83474811
202021,Autumn term,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,State-funded secondary,8151,44914,18.14801621
202021,Autumn term,Local authority,E92000001,England,East Midlands,E12000004,830,Derbyshire,E10000007,Total,22838,108076,21.13142603
